HGNC_symbol;HGNC_id
EYA1;HGNC:3519
EZH2;HGNC:3527
FAH;HGNC:3579
FAM111A;HGNC:24725
FAM126A;HGNC:24587
FAM149B1;HGNC:29162
FAM161A;HGNC:25808
FAM20A;HGNC:23015
FAM20C;HGNC:22140
FANCA;HGNC:3582
FANCB;HGNC:3583
FANCC;HGNC:3584
FANCD2;HGNC:3585
FANCE;HGNC:3586
FANCF;HGNC:3587
FANCG;HGNC:3588
FANCI;HGNC:25568
FANCL;HGNC:20748
FANCM;HGNC:23168
FAR1;HGNC:26222
FARS2;HGNC:21062
FASN;HGNC:3594
FAT4;HGNC:23109
FBLN1;HGNC:3600
FBN1;HGNC:3603
FBN2;HGNC:3604
FBP1;HGNC:3606
FBXL4;HGNC:13601
FBXO11;HGNC:13590
FBXO25;HGNC:13596
FBXO28;HGNC:29046
FBXW11;HGNC:13607
FBXW4;HGNC:10847
FBXW7;HGNC:16712
FCSK;HGNC:29500
FDFT1;HGNC:3629
FEZF1;HGNC:22788
FGD1;HGNC:3663
FGF10;HGNC:3666
FGF12;HGNC:3668
FGF14;HGNC:3671
FGF3;HGNC:3681
FGF9;HGNC:3687
FGFR1;HGNC:3688
FGFR2;HGNC:3689
FGFR3;HGNC:3690
FH;HGNC:3700
FHL1;HGNC:3702
FIG4;HGNC:16873
FKBP14;HGNC:18625
FKRP;HGNC:17997
FKTN;HGNC:3622
FLAD1;HGNC:24671
FLG;HGNC:3748
FLNA;HGNC:3754
FLNB;HGNC:3755
FLT4;HGNC:3767
FLVCR1;HGNC:24682
FLVCR2;HGNC:20105
FMN2;HGNC:14074
FMR1;HGNC:3775
FN1;HGNC:3778
FOLR1;HGNC:3791
FOXC1;HGNC:3800
FOXC2;HGNC:3801
FOXE1;HGNC:3806
FOXE3;HGNC:3808
FOXF1;HGNC:3809
FOXG1;HGNC:3811
FOXJ1;HGNC:3816
FOXL2;HGNC:1092
FOXN1;HGNC:12765
FOXP1;HGNC:3823
FOXP2;HGNC:13875
FOXP3;HGNC:6106
FOXP4;HGNC:20842
FOXRED1;HGNC:26927
FRAS1;HGNC:19185
FREM1;HGNC:23399
FREM2;HGNC:25396
FRMD7;HGNC:8079
FRMPD4;HGNC:29007
FRRS1L;HGNC:1362
FRY;HGNC:20367
FTCD;HGNC:3974
FTL;HGNC:3999
FTO;HGNC:24678
FTSJ1;HGNC:13254
FUCA1;HGNC:4006
FUT8;HGNC:4019
FYCO1;HGNC:14673
FZD5;HGNC:4043
FZD6;HGNC:4044
GAA;HGNC:4065
GABBR2;HGNC:4507
GABRA1;HGNC:4075
GABRB2;HGNC:4082
GABRB3;HGNC:4083
GABRG2;HGNC:4087
GAD1;HGNC:4092
GALC;HGNC:4115
GALE;HGNC:4116
GALK1;HGNC:4118
GALNS;HGNC:4122
GALT;HGNC:4135
GAMT;HGNC:4136
GAN;HGNC:4137
GAS2L2;HGNC:24846
GAS8;HGNC:4166
GATA2;HGNC:4171
GATA3;HGNC:4172
GATA4;HGNC:4173
GATA6;HGNC:4174
GATAD2B;HGNC:30778
GATM;HGNC:4175
GBA;HGNC:4177
GBA2;HGNC:18986
GCDH;HGNC:4189
GCH1;HGNC:4193
GCSH;HGNC:4208
GDF1;HGNC:4214
GDF3;HGNC:4218
GDF5;HGNC:4220
GDF6;HGNC:4221
GDI1;HGNC:4226
GEMIN4;HGNC:15717
GFAP;HGNC:4235
GFER;HGNC:4236
GFM1;HGNC:13780
GHR;HGNC:4263
GIGYF1;HGNC:9126
GJA1;HGNC:4274
GJA3;HGNC:4277
GJA8;HGNC:4281
GJB3;HGNC:4285
GJC2;HGNC:17494
GK;HGNC:4289
GLB1;HGNC:4298
GLDC;HGNC:4313
GLDN;HGNC:29514
GLE1;HGNC:4315
GLI2;HGNC:4318
GLI3;HGNC:4319
GLIS2;HGNC:29450
GLIS3;HGNC:28510
GLMN;HGNC:14373
GLUD1;HGNC:4335
GLUL;HGNC:4341
GM2A;HGNC:4367
GMNN;HGNC:17493
GMPPA;HGNC:22923
GMPPB;HGNC:22932
GNA11;HGNC:4379
GNA14;HGNC:4382
GNAI1;HGNC:4384
GNAI3;HGNC:4387
GNAO1;HGNC:4389
GNAQ;HGNC:4390
GNAS;HGNC:4392
GNB1;HGNC:4396
GNB2;HGNC:4398
GNB3;HGNC:4400
GNB5;HGNC:4401
GNPAT;HGNC:4416
GNPTAB;HGNC:29670
GNPTG;HGNC:23026
GNS;HGNC:4422
GON4L;HGNC:25973
GORAB;HGNC:25676
GOT2;HGNC:4433
GPAA1;HGNC:4446
GPC3;HGNC:4451
GPC4;HGNC:4452
GPC6;HGNC:4454
GPSM2;HGNC:29501
GPX4;HGNC:4556
GREB1L;HGNC:31042
GRHL2;HGNC:2799
GRHL3;HGNC:25839
GRIA2;HGNC:4572
GRIA3;HGNC:4573
GRIA4;HGNC:4574
GRID2;HGNC:4576
GRIK2;HGNC:4580
GRIN1;HGNC:4584
GRIN2A;HGNC:4585
GRIN2B;HGNC:4586
GRIN2D;HGNC:4588
GRM1;HGNC:4593
GRM6;HGNC:4598
GSPT2;HGNC:4622
GTF2E2;HGNC:4651
GTF2H5;HGNC:21157
GTPBP2;HGNC:4670
GTPBP3;HGNC:14880
GUCY2C;HGNC:4688
GUSB;HGNC:4696
GZF1;HGNC:15808
H1-4;HGNC:4718
H2AC6;HGNC:4733
H3-3A;HGNC:4764
H3-4;HGNC:4778
H4C11;HGNC:4785
H4C2;HGNC:4789
H4C3;HGNC:4787
HACE1;HGNC:21033
HADH;HGNC:4799
HADHA;HGNC:4801
HARS1;HGNC:4816
HAX1;HGNC:16915
HCCS;HGNC:4837
HCFC1;HGNC:4839
HCN1;HGNC:4845
HDAC4;HGNC:14063
HDAC8;HGNC:13315
HECW2;HGNC:29853
HERC1;HGNC:4867
HESX1;HGNC:4877
HEXA;HGNC:4878
HEXB;HGNC:4879
HGSNAT;HGNC:26527
HIBCH;HGNC:4908
HINT1;HGNC:4912
